variety,luminance,lnGrade,grade,giza69,giza67,giza70,giza68,lnGrG69,lnGrG67,lnGrG70,lnGrG68
Giza69,89.94,3.6889,40,1,0,0,0,3.6889,0,0,0
Giza69,89.59,3.4657,32,1,0,0,0,3.4657,0,0,0
Giza69,89.22,3.1781,24,1,0,0,0,3.1781,0,0,0
Giza69,88.98,2.7726,16,1,0,0,0,2.7726,0,0,0
Giza67,89,3.6889,40,0,1,0,0,0,3.6889,0,0
Giza67,88.52,3.4657,32,0,1,0,0,0,3.4657,0,0
Giza67,87.07,3.1781,24,0,1,0,0,0,3.1781,0,0
Giza67,87.18,2.7726,16,0,1,0,0,0,2.7726,0,0
Giza70,88.48,3.6889,40,0,0,1,0,0,0,3.6889,0
Giza70,88.26,3.4657,32,0,0,1,0,0,0,3.4657,0
Giza70,87.86,3.1781,24,0,0,1,0,0,0,3.1781,0
Giza70,87.36,2.7726,16,0,0,1,0,0,0,2.7726,0
Giza68,92.11,3.6889,40,0,0,0,1,0,0,0,3.6889
Giza68,91.57,3.4657,32,0,0,0,1,0,0,0,3.4657
Giza68,91.11,3.1781,24,0,0,0,1,0,0,0,3.1781
Giza68,90.02,2.7726,16,0,0,0,1,0,0,0,2.7726
Menoufi,90.81,3.6889,40,0,0,0,0,0,0,0,0
Menoufi,90.39,3.4657,32,0,0,0,0,0,0,0,0
Menoufi,89.65,3.1781,24,0,0,0,0,0,0,0,0
Menoufi,87.79,2.7726,16,0,0,0,0,0,0,0,0
