Firm,PT,PE,CR,DCR,AS,CAS,GR,DIV2,DIV3,SIZ,LRSIZ
Alberto Culver,0.3,0.17,40,0,16.5,28,1.67,0.28,0.28,37,0.2769
American Bakeries,0.09,0.06,55,1,0.9,0.4,1.16,0,0,78,0.2295
American Sugar,0.11,0.07,43,0,0.2,0.5,1.13,0,0,269,0.1787
Anheuser-Busch,0.13,0.1,80,1,3.3,2.6,1.37,0,0.13,366,0.1694
Armour,0.09,0.06,31,0,0.2,0.4,1.34,0.34,0.35,588,0.1568
Avon Products,0.37,0.35,40,0,17,1.5,1.69,0,0,224,0.1848
Campbell Soup,0.13,0.12,58,1,2.6,4.1,1.31,0,0.13,485,0.1617
Helme Products,0.13,0.11,66,1,3.2,1,1.15,0.42,0.66,29,0.297
Beatrice Foods,0.16,0.12,53,1,1.7,0.8,1.18,0.43,0.83,280,0.1775
Borden,0.12,0.08,54,1,1.3,1.1,1.22,0.33,0.76,822,0.149
Bristol-Meyers,0.3,0.2,39,0,12.9,16.4,1.59,0.25,0.7,280,0.1775
Brown-Forman Distillers,0.17,0.12,55,1,10.6,7.9,1.36,0,0,122,0.2082
Del Monte,0.11,0.1,40,0,2.2,1.7,1.35,0,0.1,408,0.1664
Associated Brewing,0.03,0.04,80,1,3.3,4.2,1.37,0,0,40,0.2711
Faberge,0.28,0.15,40,0,17,8.3,1.69,0,0.01,70,0.2354
Fairmont Foods,0.1,0.08,67,1,0.4,0.1,1.12,0.28,0.64,83,0.2263
Falstaff Brewing,0.08,0.07,80,1,3.3,4,1.37,0,0,97,0.2186
General Mills,0.14,0.1,61,1,7.8,8.8,1.31,0.28,0.56,347,0.171
General Foods,0.17,0.15,68,1,4.1,6.4,1.22,0,0.39,914,0.1467
Gerber Products,0.17,0.17,63,1,2.9,2,1.29,0.27,0.27,107,0.214
Green Giant,0.1,0.09,35,0,2,4.1,1.4,0,0.15,104,0.2153
G. Heileman Brewing,0.15,0.13,80,1,3.3,14.1,1.37,0.1,0.1,15,0.3693
Helene Curtis,-0.02,0.02,40,0,17,4.6,1.69,0.1,0.1,29,0.297
Heublein,0.19,0.17,57,1,7.1,10.4,1.31,0,0.08,90,0.2222
George A. Hormel,0.1,0.1,34,0,0.2,0.7,1.34,0,0,88,0.2233
Hygrade Food Products,-0.05,0.03,36,0,0.2,0.2,1.4,0,0.19,58,0.2463
Hershey Foods,0.19,0.16,76,1,5.9,0.2,1.17,0,0.1,168,0.1952
Keebler,0.04,0.04,59,1,1.2,2.9,1.24,0,0,67,0.2378
Kellogg,0.22,0.22,87,1,14.2,10.1,1.4,0,0.03,225,0.1846
Kraftco,0.12,0.11,45,0,1.5,2.1,1.3,0.05,0.54,870,0.1477
"Libby, McNeil & Libby",0.04,0.06,38,0,2,2.9,1.38,0,0.28,215,0.1862
Oscar Mayer,0.11,0.11,36,0,0.2,3.2,1.39,0,0,96,0.2191
National Biscuit,0.18,0.14,60,1,2.2,2,1.26,0,0.3,378,0.1685
Pabst Brewing,0.13,0.11,80,1,3.3,2.2,1.37,0,0,153,0.1988
Pet,0.1,0.08,47,0,1.9,1.2,1.31,0.5,0.8,224,0.1848
Peter Paul,0.16,0.16,78,1,6,8.1,1.16,0,0,25,0.3107
Philip Morris,0.15,0.1,81,1,11.4,10.6,1.18,0.29,0.29,542,0.1588
Procter & Gamble,0.16,0.14,66,1,9.5,10.4,1.33,0.47,0.48,1379,0.1383
Quaker Oats,0.12,0.1,56,1,6.9,6.2,1.32,0.23,0.4,236,0.183
Rath Packing,-0.17,-0.05,37,0,0.2,3.1,1.45,0,0,44,0.2643
Revlon,0.22,0.17,40,0,17,5,1.69,0.31,0.31,180,0.1926
Riviana Foods,0.12,0.12,44,0,1.4,1.2,1.31,0.26,0.62,23,0.3189
Royal Crown Cola,0.27,0.26,63,1,9.3,15.4,1.56,0,0,27,0.3034
Helena Rubinstein,0.09,0.1,40,0,17,5.6,1.69,0,0,22,0.3235
Joseph Schlitz Brewing,0.1,0.1,80,1,3.3,4.4,1.37,0,0,211,0.1869
Shulton,0.16,0.15,40,0,17,6.5,1.69,0.29,0.29,62,0.2423
Standard Brands,0.16,0.11,55,1,4.8,3,1.31,0.18,0.8,365,0.1695
Stokely-Van Camp,0.1,0.09,40,0,2.3,2.4,1.38,0,0.2,131,0.2051
Swift,0.05,0.05,33,0,0.2,0.3,1.34,0.44,0.5,681,0.1533
Tasty Baking,0.16,0.14,55,1,0.9,2.2,1.16,0.4,0.57,20,0.3338
Tobin Packing,0.08,0.08,34,0,0.2,8.4,1.33,0,0,24,0.3147
United States Tobacco,0.16,0.13,57,1,3.6,3.8,1.13,0.47,0.75,49,0.2569
Ward Foods,0.06,0.04,51,1,1.3,1.1,1.22,0.33,0.78,79,0.2289
William Wrigley,0.14,0.14,88,1,11.7,13.4,1.42,0.04,0.04,110,0.2127
American Brands,0.13,0.11,76,1,10.2,7.8,1.2,0.31,0.4,1019,0.1444
Liggett & Meyers,0.1,0.08,71,1,9.9,8.8,1.22,0.61,0.66,438,0.1644
R.J. Reynolds,0.19,0.17,77,1,10.1,10.9,1.2,0.53,0.64,1136,0.1421
