avID,event,date,volume,height,runDist,Uconf,Fconf,confine
1,Luanshibao,Ancient,43,820,3900,1,0,U
2,Tagarma,Ancient,96,1510,5430,1,0,U
3,Nyixoi,Ancient,28,890,4600,1,0,U
4,Xuzha,Ancient,33,680,2570,0,1,F
5,Linka,Ancient,310,1488,6200,0,0,L
6,Saleshan,1983,24.8,220,1600,1,0,U
7,Xikou,1989,0.2,490,1550,0,0,L
8,Touzhai,1991,7.2,960,3650,0,0,L
9,Yigong,2000,90,3250,10000,0,1,F
10,Qianjiangping,2003,16.3,300,1150,0,1,F
11,Niumiangou,2008,7.5,950,2900,0,0,L
12,Wenjiagou,2008,27.5,1360,4170,0,0,L
13,Donghekou,2008,12,680,2400,0,0,L
14,Guantan,2008,3.74,490,870,0,1,F
15,Dongjia,2008,0.7,140,310,0,1,F
16,Zhengjiashan,2008,1.68,130,440,0,1,F
17,Daguangbao,2008,600,800,4500,0,1,F
18,Tangjiashan,2008,16.3,480,980,0,1,F
19,Woqian,2008,6.06,550,2050,0,0,L
20,Laoyingyan,2008,12,700,1450,0,1,F
21,Xiejiadianzi,2008,0.4,660,1370,0,1,F
22,Shuimuogou,2008,6,660,1680,0,1,F
23,Xiaojiaqiao,2008,2.8,130,330,0,1,F
24,Shuicaobao,2008,11.2,180,630,0,1,F
25,Guershan-2,2008,2.72,350,880,1,0,U
26,Guershan-3,2008,3,335,650,1,0,U
27,Chenjiaba,2008,4.16,340,830,1,0,U
28,Hongyancun,2008,0.6,200,640,1,0,U
29,Jiweishan,2010,5,710,2160,0,0,L
30,Guanling,2010,1.15,420,1510,0,0,L
31,Zhenxiong,2013,0.2,290,800,0,0,L
32,Wulipo,2013,2.64,390,1160,0,0,L
33,Xinmo,2017,4.46,1170,2600,0,1,F
34,Nayong,2017,0.5,270,790,1,0,U
35,Baige,2018,31.7,860,1550,0,1,F
36,Jichangzhen,2019,1.6,470,1250,0,0,L
