breath,intox,alcoSens
0.00995,0.01295,0.01488
0.01009,0.00843,0.01691
0.01200,0.01562,0.02303
0.01602,0.01480,0.02119
0.01711,0.01583,0.02119
0.01793,0.01768,0.02507
0.01813,0.02570,0.03199
0.02094,0.02261,0.02425
0.02413,0.02179,0.02588
0.02570,0.02549,0.02507
0.02720,0.03022,0.02975
0.02801,0.02899,0.03892
0.02938,0.02899,0.03689
0.03135,0.02878,0.03362
0.03238,0.03557,0.03933
0.03524,0.03680,0.03892
0.03633,0.03844,0.04300
0.03633,0.03844,0.03831
0.03647,0.03639,0.03709
0.03667,0.03639,0.03648
0.03735,0.03392,0.03689
0.03940,0.03988,0.04300
0.04035,0.03783,0.04422
0.04117,0.05880,0.06215
0.04376,0.04276,0.04381
0.04539,0.05078,0.04993
0.04730,0.05674,0.05278
0.04764,0.04934,0.06093
0.04907,0.07195,0.07010
0.05023,0.05797,0.07031
0.05623,0.07175,0.07194
0.05637,0.05571,0.06603
0.05732,0.05407,0.05686
0.05834,0.08079,0.08070
0.05937,0.06784,0.06582
0.06032,0.05941,0.06664
0.06250,0.07031,0.07316
0.06829,0.07421,0.07499
0.07020,0.06414,0.07662
0.07027,0.07421,0.06317
0.07429,0.07709,0.08600
0.07845,0.08593,0.08498
0.08356,0.08244,0.08416
0.08424,0.09107,0.10475
0.08438,0.10300,0.11045
0.08745,0.10587,0.12023
0.08752,0.08922,0.09374
0.09147,0.09950,0.10434
0.09835,0.10402,0.11860
0.09917,0.10341,0.10169
0.09938,0.09971,0.11493
0.10122,0.10670,0.12166
0.10728,0.10032,0.11432
0.11014,0.10505,0.12044
0.11900,0.11574,0.14550
0.11935,0.12725,0.12716
0.12105,0.11533,0.13939
0.12200,0.11677,0.12635
0.12412,0.12335,0.14122
0.12896,0.12026,0.14408
