sample,Idsample,X1,X2,X3,X4,X5,X6,Y
1,1,22.87,999.18,295,25.22,2.65,47.86,92.35
1,2,22.87,582.21,285,25.22,2.65,47.86,84.68
1,3,22.87,582.21,285,25.22,2.65,47.86,85.5
1,4,22.87,607.08,360,33.66,3.5,84.7,81.24
1,5,22.87,691.8,370,33.66,3.5,84.7,62.98
1,6,50.71,1010.2,238,25.22,2.65,47.86,99.4
1,7,50.71,582.21,285,33.66,3.5,84.7,69.55
1,8,50.71,999.18,295,33.66,3.5,84.7,62.37
1,9,50.71,691.8,370,5.97,5.44,0.24,122.92
1,10,106.11,1010.2,238,33.66,3.5,84.7,121.76
1,11,106.11,908.03,245,33.66,3.5,84.7,193.05
1,12,106.11,691.8,370,25.22,2.65,47.86,174.44
1,13,106.11,561.2,412,25.22,2.65,47.86,204.51
1,14,106.11,999.18,295,25.22,2.65,47.86,171.97
1,15,106.11,582.21,285,25.22,2.65,47.86,153.35
1,16,22.87,1010.2,238,25.22,2.65,47.86,84.71
1,17,22.87,691.8,370,25.22,2.65,47.86,94.13
1,18,106.11,1010.2,238,25.22,2.65,47.86,141.3
1,19,106.11,582.21,285,33.66,3.5,84.7,86.3
1,20,106.11,999.18,295,33.66,3.5,84.7,121.33
1,21,50.71,1010.2,238,33.66,3.5,84.7,50.91
1,22,106.11,691.8,370,5.97,5.44,0.24,115.8
1,23,22.87,691.8,370,5.97,5.44,0.24,59.52
1,24,22.87,881.5,234,25.22,2.65,47.86,95.46
1,25,22.87,908.03,245,25.22,2.65,47.86,97.23
1,26,50.71,582.21,285,25.22,2.65,47.86,80.1
1,27,22.87,881.5,234,33.66,3.5,84.7,49.47
1,28,106.11,908.03,245,33.66,3.5,84.7,193.05
1,29,106.11,691.8,370,33.66,3.5,84.7,141.48
1,30,106.11,1010.2,238,5.97,5.44,0.24,96.07
1,31,106.11,561.2,412,33.66,3.5,84.7,176.02
1,32,106.11,1010.2,238,25.22,2.65,47.86,133.97
1,33,50.71,999.18,295,25.22,2.65,47.86,98.85
1,34,22.87,1010.2,238,33.66,3.5,84.7,57.65
1,35,50.71,691.8,370,25.22,2.65,47.86,117.95
1,36,106.11,1010.2,238,25.22,2.65,47.86,171.99
1,37,22.87,1010.2,238,25.22,2.65,47.86,152.3
1,38,50.71,1010.2,238,33.66,3.5,84.7,50.91
1,39,106.11,1010.2,238,25.22,2.65,47.86,133.97
1,40,22.87,908.03,245,33.66,3.5,84.7,57.29
1,41,22.87,881.5,230,5.97,0.24,0.24,47.82
1,42,22.87,582.21,285,25.22,2.65,47.86,87.4
1,43,22.87,691.8,360,33.66,3.5,84.7,65.62
1,44,50.71,881.5,230,25.22,2.65,47.86,94.39
1,45,50.71,582.21,285,33.66,3.5,84.7,67.14
1,46,50.71,691.8,360,5.97,0.24,0.24,152.69
1,47,106.11,881.5,230,33.66,3.5,84.7,147.21
1,48,106.11,582.21,285,5.97,0.24,0.24,122.61
1,49,106.11,691.8,360,25.22,2.65,47.86,184.35
2,1,50.71,691.8,370,25.22,2.65,47.86,135.91
2,2,106.11,1010.23,238,5.97,5.44,0.24,109.92
2,3,22.87,691.8,370,5.97,5.44,0.24,59.52
2,4,106.11,1010.23,238,33.66,3.5,84.7,127.39
2,5,106.11,691.8,370,33.66,3.5,84.7,141.48
2,6,106.11,582.21,282,25.22,2.65,47.86,153.35
2,7,106.11,999.11,295,25.22,2.65,47.86,171.97
2,8,22.87,881.5,235,25.22,2.65,47.86,85.46
2,9,22.87,1010.23,238,25.22,2.65,47.86,93.46
2,10,22.87,908.026,250,25.22,2.65,47.86,97.23
2,11,50.71,582.21,282,25.22,2.65,47.86,102.13
2,12,106.11,582.21,282,33.66,3.5,84.7,121.4
2,13,106.11,1010.23,238,25.22,2.65,47.86,142.13
2,14,106.11,999.11,295,33.66,3.5,84.7,141.5
2,15,22.87,607.08,360,33.66,3.5,84.7,81.24
2,16,22.87,1010.23,238,25.22,2.65,47.86,74.71
2,17,22.87,691.8,370,33.66,3.5,84.7,62.98
2,18,22.87,881.5,235,5.97,5.44,0.24,42.46
2,19,22.87,881.5,235,5.97,5.44,0.24,36.29
2,20,50.71,582.21,282,5.97,5.44,0.24,75.16
2,21,22.87,607.08,360,33.66,3.5,84.7,73.06
2,22,50.71,607.08,360,25.22,2.65,47.86,127.95
2,23,106.11,1010.23,238,25.22,2.65,47.86,163.81
2,24,22.87,1010.23,238,5.97,5.44,0.24,43.1
2,25,22.87,582.21,282,25.22,2.65,47.86,85.07
