city,hotel.ID,year.EC,flr.area,employees
1,1,831.12,1822.99,36
1,2,3217.27,5346.02,150
1,3,2800.78,18032,100
1,4,5167.74,10197.07,130
1,5,4580.83,12200.08,130
1,6,8040.81,60000,160
1,7,22092.13,55196,300
1,8,26400.26,40907.04,1475
1,9,11038.9,33864,526
1,10,1709.07,8670,75
1,11,1196.99,3672,35
1,12,4613.99,23868,562
1,13,6940.7,35904,650
1,14,12520.86,64464,1345
1,15,8777.92,26928,310
1,16,828.15,4284,50
1,17,288.43,6324,85
1,18,558.25,20460,163
1,19,46.52,1020,8
1,20,3923.86,18212,87
1,21,9210.17,28392,362
1,22,107,2104,25
1,23,884.69,4500,79
1,24,1407.47,6405,120
1,25,4721.46,12567,105
1,26,9287.13,48042,764
1,27,847.87,4200,55
1,28,3723.97,11424,185
2,1,19319.218,42483,280
2,2,10500.985,20799,150
2,3,17781.719,32124,270
2,4,10895.501,27829,170
2,5,43101.872,101998,500
2,6,20280.478,37809,295
2,7,15921.535,35972,200
2,8,15411.021,34293,195
2,9,18229.187,43473,200
2,10,29894.694,50470,570
2,11,37458.104,94000,600
2,12,13624.121,37877,100
2,13,10949.518,19206,161
2,14,11317.472,25916,150
2,15,11411.442,23018,195
2,16,6892.05,17194,100
2,17,6766.063,21260,70
2,18,13293.764,27291,284
2,19,6024.632,14742,67
2,20,9102.934,26866,70
2,21,15786.314,28546,120
2,22,9464.685,19410,160
2,23,28359.203,50959,320
2,24,17945.28,49424,270
2,25,7734.425,28112,85
2,26,5585.425,18133,125
2,27,6008.778,20591,90
2,28,494.563,1648,12
2,29,6457.409,24394,80
